path_length_m,mission_time_s,cruise_speed_ref_ms,cruise_altitude_ref_m,risk_label,n_waypoints,feasible,hover_frac_ctrl,transition_frac_ctrl,cruise_frac_ctrl,pos_error_mean_m,pos_error_max_m,pos_error_rms_m,pos_error_final_m,vel_error_mean_ms,vel_error_max_ms,vel_error_rms_ms,alt_error_mean_m,alt_error_max_m,alt_error_rms_m,alt_final_m,att_error_mean_rad,att_error_max_rad,att_error_rms_rad,rate_error_mean_rads,rate_error_max_rads,itae_pos,itae_alt,itae_att,thrust_cmd_mean_N,thrust_cmd_max_N,thrust_cmd_std_N,thrust_rate_std_N,moment_x_mean_Nm,moment_y_mean_Nm,moment_z_mean_Nm,moment_x_std_Nm,moment_y_std_Nm,moment_z_std_Nm,roll_cmd_max_rad,pitch_cmd_max_rad,roll_cmd_std_rad,pitch_cmd_std_rad,pid_int_vel_final,pid_int_alt_final,pid_int_att_final,pid_int_rate_final,motor_T_mean_N,motor_T_max_N,motor_T_balance_N,motor_T_m0_mean_N,motor_T_m1_mean_N,motor_T_m2_mean_N,motor_T_m3_mean_N,pwm_mean_us,pwm_max_us,pwm_min_us,pwm_utilisation_pct,nacelle_transitions_n,nacelle_final_deg,nacelle_mean_deg,n_mode_transitions,alt_settling_mean_s,alt_settling_max_s,vel_settling_mean_s,vel_settling_max_s,n_stall_events,n_saturations,n_wp_reached,mission_abort,cruise_speed_actual_ms,speed_variance_ms,soc_initial,soc_final,energy_consumed_wh,spl_hover_a_dB,rcs_cruise_x_dBsm,max_combined_threat
10998.894996777912,194.67144993116773,81.67206191363934,500.0,1,4,1,0.18512430655434559,0.12348469282925827,0.43127183069652764,33.652766957693956,342.3522094193529,89.64846245630716,1.6800925109156146e-16,7.69896627723661,81.66946466112024,15.487996647494258,11.281576538574805,213.89736362629358,36.69537311967997,216.56403029296789,0.015999535466250513,0.9157013088321199,0.07685105231533455,0.01533536772242379,1.0670406779757682,570664.2451200597,348877.3691450269,322.6720486068428,2079.1715839522008,4632.22858752,322.1325529113061,33.44017295270313,2.3674738654691086e-13,-0.0002804783832231239,9.380765823112156e-14,8.596618716231575e-14,12.522295306181833,5.523647807456594e-14,5.515789483990827e-16,0.5235987755982988,9.766954089532507e-17,0.3008073868515388,-0.002549497847189042,-20.0,0.023097984054296944,-1.9449576326449566e-05,519.7933953689708,519.7933962945465,9.255756765469427e-07,519.7933962945464,519.7933962945465,519.7933944433951,519.7933944433951,1446.5289302459857,1872.0380979200004,1100.0,43.31611628074723,4,90.0,45.62872405999589,6,0.11333333333333329,0.6799999999999997,2.9533333333333354,9.659999999999997,0,47,4,0,77.58845881795737,13.438897217211228,0.9,0.82292730395436,3079.8249339837776,92.5856740285346,-8.287812576581175,0.9315718412399292
16320.155888814008,309.9995260026725,65.2807473268551,1000.0,0,6,1,0.11625806451612904,0.0775483870967742,0.5276774193548387,4.945521844816169,86.00138635498996,16.843306105188148,1.1376379413802967e-16,2.0662497447448107,65.28040947636987,7.035438592546191,20.121457121028712,708.7118431671765,91.60684934049733,715.3785098338585,0.00765062987088989,0.8528020014431928,0.048678267967539005,0.007828151702399108,1.0495240761187423,190707.1620685727,1700726.2035758563,393.2069611001692,2028.426097169071,4632.22858752,246.71386971719087,25.676119751375936,2.344943844117455e-13,-0.00014250700719232735,8.169012368378193e-14,7.069088947692613e-14,8.978306050890994,4.6034427119289834e-14,5.515789483990827e-16,0.5235987755982988,7.34235206997732e-17,0.19264424676635208,0.029875346708040408,-20.0,0.04822618300494958,-1.62536746182318e-05,507.10678463543974,507.10678516144065,5.260008464347287e-07,507.1067851614406,507.10678516144065,507.10678410943893,507.10678410943893,1438.0711897569604,1872.0380979200004,1100.0000982013999,42.258898719620255,4,90.0,39.01935483870968,6,0.11333333333333447,0.6800000000000068,2.609999999999997,7.899999999999977,0,47,6,0,62.01670996051235,6.725177185905979,0.9,0.7817332656626245,4725.938704121529,92.16187580125869,-9.146315442859233,0.8547335267066956
20279.072757426366,360.865751079749,67.40239686520881,800.0,0,7,1,0.09986699179782753,0.06661494125471071,0.6338395034360452,3.8294620992490054,82.73959492931408,13.597981705260999,1.2429867069291788e-16,1.795774964302328,67.40235231894381,6.743365565529851,12.781752470938494,510.19031989658254,61.61502982302818,515.5236532299281,0.00683023364051163,0.8558702414535263,0.04676665739094882,0.006789612648251291,1.0504788748940777,167562.68333713317,1442466.7028201625,420.43932719383207,2025.6028262785212,4632.22858752,227.8847881053827,26.106748840038367,2.2579609805483905e-13,-0.0001236254712400263,7.756220884440173e-14,6.726398009903473e-14,8.711606767545868,4.44250031134893e-14,5.515789483990815e-16,0.5235987755982988,6.700861168390354e-17,0.1793691608225979,0.03233908814226944,-20.0,0.050805012117154415,-1.4705707246912187e-05,506.40093269414035,506.40093315453936,4.603989793849914e-07,506.40093315453936,506.40093315453936,506.4009322337414,506.4009322337414,1437.6006217960928,1872.0380979200004,1100.0,42.20007772451199,4,90.0,29.956772334293948,6,0.11333333333333329,0.6799999999999997,2.7433333333333394,8.120000000000005,0,48,6,0,64.03227702194837,6.499859339090243,0.9,0.762614816352932,5489.911938536835,92.33197363481958,-8.387648577088404,0.7348018288612366
18912.2146838916,310.81660074930164,75.402563575905,1200.0,1,7,1,0.11595135448169358,0.07734380027025288,0.4829805031851232,12.32013862390163,184.3379601962073,38.53301925895046,1.3115568795717582e-16,3.5431528649018986,75.40186202101877,9.674196215429465,25.326016311396415,907.8670372204082,116.67470484512317,915.8670372204265,0.010676306450763083,0.9620486359654807,0.06598301902732212,0.009162153034221871,1.056882185102497,533315.6535614651,2172841.7072716975,563.7884135862155,2049.4053367861043,4632.22858752,256.6252280273836,26.462299821660324,2.3214939311793473e-13,-0.00015473811479575265,8.384777179534617e-14,7.386626172487125e-14,9.557896052464043,5.0003476022373497e-14,5.515789483990808e-16,0.5235987755982988,7.5246780348431e-17,0.2368046228843206,0.02810129640873282,-20.0,0.04865080302404496,-1.289724808591226e-05,512.3516166162528,512.3516171829366,5.66683780789392e-07,512.3516171829366,512.3516171829366,512.351616049569,512.3516160495691,1441.5677444108333,1872.0380979200004,1100.0,42.69596805135441,4,90.0,43.051283701177525,6,0.1133333333333321,0.6799999999999926,2.9033333333333338,8.939999999999998,0,48,6,0,71.63243539710976,9.002007564458442,0.9,0.7795771803860547,4812.095871773253,91.99099860420816,-8.357647000116598,0.9374502301216125
15942.739988477642,307.73931410614193,64.35288660582592,1500.0,0,7,1,0.11711184766361214,0.07811789172678235,0.4081367388054852,6.894045485733286,126.02888454454973,23.936014313015875,1.274597977930588e-16,2.45484523295387,64.3534330412798,7.536058662149847,33.47972851668481,1205.3375400842815,155.06987488527454,1215.3375400843045,0.009485160079084645,0.8565498066119204,0.0591865796728884,0.008611483597784918,1.0491896111525472,332330.502852323,2844238.9112590733,536.7348974261243,2035.5080261655758,4632.22858752,251.74229269895838,28.27349063752752,2.289592476076801e-13,-0.00013938421994389753,7.923192216500947e-14,7.088275715552791e-14,9.466417133479972,4.7060491256557594e-14,5.515789483990808e-16,0.5235987755982988,7.269210956159572e-17,0.21131776585457718,0.02878537138409597,-20.0,0.047892844248281836,-1.5480918286705e-05,508.87726205230246,508.8772625799398,5.276372974094564e-07,508.8772625799397,508.8772625799398,508.8772615246652,508.87726152466513,1439.2515080348714,1872.0380979200004,1100.0,42.40643850435843,4,90.0,49.752388379801125,6,0.11333333333333447,0.6800000000000068,2.5233333333333263,7.7999999999999545,0,48,6,0,61.135242275534615,7.125020353767918,0.9,0.7819801655063962,4716.072586364411,91.73320633055049,-8.842590375334375,0.7968205809593201
20232.42433411143,344.0874120719785,71.21901032695244,1200.0,0,7,1,0.1047369950595757,0.06986341179889567,0.5329264748619588,5.808630235612517,104.47230468538686,20.154460565763884,1.3039622891590706e-16,2.2043478330261137,71.21879198560522,7.5626571123267246,22.914278614236924,908.8489545001761,111.0797802360753,915.2489545001945,0.007129257132937052,0.8751528096308299,0.04839455278263332,0.007102840275941072,1.3510231150366034,280575.8191076376,2409336.320067467,454.55221710647834,2029.9031786827622,4632.22858752,236.12657492782017,25.14487703572451,2.2876849580328627e-13,-0.0001340180318463309,7.914451384807467e-14,6.872321487423341e-14,9.370636985267907,4.588137596338355e-14,5.515789483990808e-16,0.5235987755982988,7.111916557270027e-17,0.19211340624691928,0.03171731172830167,-20.0,0.05087708124667745,-1.3560792055782395e-05,507.4760396616004,507.47604015692536,4.953248833317072e-07,507.47604015692525,507.47604015692536,507.47603916627554,507.47603916627554,1438.3173597743933,1872.0380979200004,1100.0,42.28966997179991,4,90.0,38.89276373147341,6,0.1133333333333321,0.6799999999999926,2.8200000000000025,8.519999999999982,0,48,6,0,67.65805981060481,7.234267981603883,0.9,0.7685851143861598,5251.338829129052,91.99099860420816,-9.64029593370729,0.9535494446754456
19093.19918304562,279.88868138693584,86.83120505619621,1500.0,1,7,1,0.12876027152554484,0.08588781707752768,0.3492675955698464,28.885198545508583,395.60133422885497,90.18427639481868,1.287734171449573e-16,5.790113170457202,86.82889200549154,13.69145212231598,36.86713918630778,1206.479559687894,162.75735436566225,1216.479559687917,0.010877895742075993,0.925688407932655,0.06230754137771451,0.010292864055542687,1.080429648748951,1294237.5687923694,2592452.268353654,547.4858632189306,2054.5005186026706,4632.22858752,270.58522430800383,29.652269854438828,2.3293914569521505e-13,-0.00019903281567467746,8.382700278695322e-14,7.744457864115584e-14,10.259692953091934,5.3212034627198455e-14,5.515789483990808e-16,0.5235987755982988,8.129263336942364e-17,0.24970549853010648,0.0025551853069880003,-20.0,0.029287218521122985,-1.515289756231294e-05,513.6254853560449,513.6254860340465,6.780014984997269e-07,513.6254860340464,513.6254860340465,513.6254846780434,513.6254846780434,1442.416990237357,1872.0380979200004,1100.0,42.80212377967023,4,90.0,54.70096463022508,6,0.11333333333333447,0.6800000000000068,3.1366666666666703,10.140000000000015,0,47,6,0,82.4896448033864,12.406871108017906,0.9,0.791155244049837,4349.436447768515,91.73320633055049,-9.52657402044359,0.9775446653366089
17635.953490506854,288.65183931111505,77.13016236230884,700.0,1,7,1,0.1248527679623086,0.08328136908473636,0.5669645950252893,12.994457195629316,171.5827465944651,38.73478943877588,1.703561471265852e-16,3.7432686948809617,77.12971280373901,10.057290318481915,13.226526316411679,411.9523038831778,56.05594723761106,415.68563721652185,0.011305836022714903,0.9469647534680229,0.06747579420560047,0.0097237350160536,1.0590638871629205,390639.38665949396,943961.9590675755,450.32198994977824,2053.4582446207105,4632.22858752,265.8004609003832,29.731916975995176,2.312196257779151e-13,-0.0001679814623019272,8.49189384234397e-14,7.378218442448449e-14,9.945257581274184,5.1402345009805435e-14,5.515789483990827e-16,0.5235987755982988,7.677882192123561e-17,0.24481737669839476,0.028968376805279333,-20.0,0.049829182757047445,-1.1667221661908936e-05,513.3648680324753,513.3648686502122,6.177368732096563e-07,513.3648686502121,513.3648686502122,513.3648674147385,513.3648674147383,1442.2432453549889,1872.0380979200004,1100.0,42.78040566937282,4,90.0,35.22552483891083,6,0.11333333333333329,0.6799999999999997,2.9766666666666617,9.120000000000005,0,48,6,0,73.2736542441934,9.33472163635071,0.9,0.787832785595504,4482.201887603661,92.4167324322775,-9.031975951186922,0.9237587451934814
15086.768368456596,277.64734013259783,69.31749480267136,500.0,0,4,1,0.12979903479075128,0.08658071022113376,0.601238925304329,7.227618346521897,106.59974369977971,22.79415526835741,1.5188873090859778e-16,2.703661495535163,69.31748567702721,8.197066255906591,7.878756002810444,213.2032806848642,30.63328540039068,215.8699473515385,0.00936184506529673,0.8757671844455766,0.05776749794824276,0.009049513454816966,1.0515541228470955,177367.54902023962,495612.9621721841,331.9300023921022,2039.1246416066815,4632.22858752,263.53462022452,27.995369379936715,2.3706222691868796e-13,-0.00016301644951623387,8.61972910294589e-14,7.344315039453139e-14,9.403918339984772,4.7775323414248054e-14,5.515789483990827e-16,0.5235987755982988,8.03116039905726e-17,0.21857949839514834,0.03410440763529561,-20.0,0.052536058109008694,-1.4108404033662171e-05,509.7814586330473,509.7814592397936,6.067463402814617e-07,509.7814592397936,509.7814592397936,509.7814580263009,509.7814580263009,1439.854305755369,1872.0380979200004,1100.0,42.481788219420444,4,90.0,31.99236476265937,6,0.11333333333333329,0.6799999999999997,2.7366666666666646,8.319999999999993,0,48,4,0,65.85162006253779,7.7383531659703335,0.9,0.7932367053000285,4266.26125621086,92.5856740285346,-8.97058667964184,0.9266567826271057
9542.762981609445,196.89543000229725,69.70841160621146,200.0,0,4,1,0.18303707465718638,0.12209243270695784,0.542915185373286,18.67071118761042,208.52609656565664,49.9924408679438,1.2470444266742135e-16,5.487044097149736,69.70633913635454,11.81164588634308,1.7783433382132772,13.278735724282342,3.76976322640859,10.585962705069136,0.016547645155449594,0.9050915527633006,0.08091165446768071,0.014644469011413117,1.051822861353047,242161.52049350707,33557.63032321693,284.71539395510325,2078.5721625255983,4506.884369066666,291.7811631367503,37.68789500253065,2.4225798394641257e-13,2.3025892121098695e-06,9.320049935100583e-14,8.047594477300411e-14,12.306489618465719,5.5873022482871786e-14,5.700075601739132e-16,0.5235987755982988,9.726367493854807e-17,0.28806785711613253,0.020192390122244875,-20.0,0.04159438437467826,6.235297995094538e-05,519.6430406468206,519.6430415478484,9.010277324250651e-07,519.6430415478484,519.6430415478484,519.6430397457929,519.643039745793,1446.4286937645436,1851.1473948444448,1100.0,43.30358672056821,4,90.0,35.64347384459116,6,0.1033333333333335,0.620000000000001,2.656666666666665,8.379999999999995,0,2,4,0,66.22299102590088,10.459795677751034,0.9,0.8220805125415992,3113.662718837697,92.83765899691822,-9.070180916943064,0.6878479719161987
