time,f1,f2,f3,f4
0.0,44.03900502687511,44.12991396752152,44.2208229081679,44.12991396752152
0.05,44.0391584323249,44.13206145641763,44.220919498488946,44.127516482854546
0.1,44.03936862264988,44.13420753758312,44.220959278935474,44.12512043091756
0.15000000000000002,44.039635532101265,44.136350804173844,44.22094229025932,44.12272724355162
0.2,44.0399590594697,44.13848985111764,44.220868608678025,44.120338350820674
0.25,44.040339068141556,44.140623275999246,44.220738345820855,44.1179551801244
0.30000000000000004,44.04077538617815,44.14274967994325,44.22055164865207,44.115579155312574
0.35000000000000003,44.04126780641642,44.14486766849491,44.2203086993729,44.11321169580184
0.4,44.041816086591886,44.14697585249813,44.22000971530087,44.110854215695156
0.45,44.04241994948364,44.14907284897028,44.21965494872756,44.10850812290457
0.5,44.04307908308076,44.15115728197294,44.21924468675447,44.10617481827788
0.55,44.043793140771136,44.15322778347857,44.21877925110669,44.103855694729674
0.6000000000000001,44.04456174155124,44.15528299423168,44.218258997925766,44.10155213637735
0.65,44.045384470257964,44.157321564605226,44.21768431754031,44.09926551768254
0.7000000000000001,44.04626087782143,44.159342155450304,44.21705563421555,44.09699720259877
0.75,44.04719048153901,44.16134343893968,44.216373405881875,44.0947485437255
0.8,44.0481727653708,44.16332409940425,44.215638123841835,44.092520881469156
0.8500000000000001,44.04920718025546,44.16528283416166,44.21485031245685,44.090315543212085
0.9,44.05029314444685,44.16721835433688,44.21401052881286,44.08813384248944
0.9500000000000001,44.05143004387123,44.16912938567441,44.21311936236581,44.08597707817461
1.0,44.052617232504396,44.171014669340764,44.212177434566804,44.08384653367409
1.05,44.05385403276923,44.17287296271799,44.21118539846703,44.08174347613179
1.1,44.05513973595253,44.174703040186486,44.21014393830355,44.0796691556435
1.1500000000000001,44.056473602641596,44.17650369389746,44.209053769064944,44.077624804482056
1.2000000000000002,44.05785486317985,44.1782737345343,44.20791563603819,44.075611636333704
1.25,44.059282718141496,44.18001199206206,44.206730314336575,44.07363084554589
1.3,44.06075633882494,44.181717316465296,44.205498608408625,44.0716836063872
1.35,44.062274867763854,44.18338857847293,44.204221351529306,44.06977107231994
1.4000000000000001,44.06383741925725,44.18502467027051,44.20289940527264,44.06789437528565
1.4500000000000002,44.06544307991634,44.18662450619891,44.20153365896707,44.06605462500369
1.5,44.06709090922919,44.188187023439,44.20012502913334,44.06425290828449
1.55,44.06877994014223,44.189711182682274,44.19867445890525,44.0624902883563
1.6,44.07050917965821,44.191195968786744,44.197182917434155,44.06076780420692
1.6500000000000001,44.0722776094507,44.19264039141741,44.195651399276905,44.05908646994102
1.7000000000000002,44.074084186494225,44.194043485671585,44.19408092376802,44.05744727415224
1.75,44.07592784370987,44.19540431268818,44.1924725343764,44.0558511793116
1.8,44.07780749062585,44.19672196024048,44.1908272980473,44.054299121172406
1.85,44.07972201405318,44.19799554331263,44.18914630452884,44.05279200819139
1.9000000000000001,44.081670278774986,44.199224204658734,44.18743066568512,44.05133072096724
1.9500000000000002,44.08365112824965,44.20040711534489,44.185681514795256,44.04991611169628
2.0,44.08566338532811,44.20154347527314,44.18390000583873,44.04854900364603
2.0500000000000003,44.087705852982914,44.2026325136879,44.18208731276837,44.04723019064683
2.1,44.08977731505032,44.20367348966336,44.18024462877066,44.04596043660169
2.15,44.09187653698469,44.2046656925728,44.178373165513584,44.044740475014976
2.2,44.094002266623654,44.205608442538704,44.17647415238388,44.043571008539814
2.25,44.09615323496484,44.20650109086351,44.17454883571242,44.04245270854527
2.3000000000000003,44.09832815695308,44.20734302044109,44.172598477989375,44.0413862147025
2.35,44.100525732277454,44.208133646148326,44.17062435706948,44.04037213459078
2.4000000000000004,44.102744646178216,44.20887241521663,44.168627765367184,44.039411043323994
2.45,44.104983570262384,44.20955880758335,44.16661000904346,44.038503483196834
2.5,44.10724116332839,44.210192336222505,44.16457240718332,44.03764996335187
2.5500000000000003,44.10951607219817,44.21077254745519,44.16251629096579,44.03685095946686
