time,P_elec,SOC,Vt
0.0,40.44610816805776,0.9999873479391366,3.1523353022311533
0.05,40.44610816805861,0.9999746958696205,3.151244724905162
0.1,40.44610816806213,0.9999620437914517,3.1501595851946225
0.15000000000000002,40.44610816806835,0.9999493917046302,3.1490798559114426
0.2,40.44610816807726,0.9999367396091559,3.1480055100034723
0.25,40.446108168088855,0.9999240875050288,3.1469365205538207
0.30000000000000004,40.446108168103144,0.999911435392249,3.145872860780181
0.35000000000000003,40.44610816812012,0.9998987832708164,3.144814504034161
0.4,40.44610816813977,0.999886131140731,3.143761423800607
0.45,40.44610816816211,0.9998734790019927,3.1427135936969424
0.5,40.44610816818712,0.9998608268546016,3.1416709874725037
0.55,40.4461081682148,0.9998481746985577,3.1406335790078814
0.6000000000000001,40.44610816824514,0.9998355225338608,3.139601342314261
0.65,40.44610816827812,0.999822870360511,3.138574251532774
0.7000000000000001,40.44610816831374,0.9998102181785082,3.1375522809338454
0.75,40.44610816835199,0.9997975659878525,3.1365354049165486
0.8,40.44610816839285,0.9997849137885438,3.1355235980079605
0.8500000000000001,40.446108168436304,0.9997722615805822,3.1345168348625245
0.9,40.44610816848235,0.9997596093639676,3.1335150902614104
0.9500000000000001,40.44610816853095,0.9997469571386999,3.1325183391118827
1.0,40.44610816858211,0.9997343049047792,3.131526556446669
1.05,40.44610816863579,0.9997216526622055,3.1305397174233343
1.1,40.44610816869197,0.9997090004109787,3.129557797323655
1.1500000000000001,40.44610816875065,0.9996963481510988,3.1285807715529983
1.2000000000000002,40.44610816881178,0.9996836958825657,3.127608615639706
1.25,40.446108168875355,0.9996710436053795,3.1266413052344766
1.3,40.44610816894134,0.9996583913195402,3.1256788161097564
1.35,40.44610816900972,0.9996457390250476,3.1247211241591284
1.4000000000000001,40.446108169080446,0.9996330867219019,3.123768205396709
1.4500000000000002,40.446108169153504,0.999620434410103,3.1228200359565434
1.5,40.44610816922886,0.9996077820896508,3.1218765920920055
1.55,40.446108169306484,0.9995951297605454,3.120937850175204
1.6,40.44610816938634,0.9995824774227867,3.1200037866963863
1.6500000000000001,40.446108169468395,0.9995698250763748,3.119074378263349
1.7000000000000002,40.446108169552616,0.9995571727213096,3.1181496016008485
1.75,40.44610816963896,0.999544520357591,3.1172294335500195
1.8,40.4461081697274,0.9995318679852191,3.1163138510677895
1.85,40.4461081698179,0.9995192156041939,3.115402831226301
1.9000000000000001,40.44610816991041,0.9995065632145153,3.1144963512123383
1.9500000000000002,40.44610817000489,0.9994939108161832,3.113594388326749
2.0,40.44610817010131,0.9994812584091978,3.1126969199838768
2.0500000000000003,40.44610817019962,0.9994686059935589,3.1118039237109953
2.1,40.44610817029977,0.9994559535692666,3.110915377147742
2.15,40.446108170401736,0.9994433011363208,3.110031258045554
2.2,40.44610817050546,0.9994306486947215,3.109151544267111
2.25,40.44610817061089,0.9994179962444688,3.1082762137857842
2.3000000000000003,40.446108170718,0.9994053437855626,3.1074052446850717
2.35,40.446108170826726,0.9993926913180027,3.1065386151580574
2.4000000000000004,40.44610817093702,0.9993800388417893,3.1056763035068595
2.45,40.44610817104884,0.9993673863569223,3.1048182881420856
2.5,40.446108171162145,0.9993547338634018,3.1039645475822897
2.5500000000000003,40.44610817127687,0.9993420813612276,3.1031150604534337
2.6,40.44610817139297,0.9993294288503998,3.1022698054883495
2.6500000000000004,40.4461081715104,0.9993167763309183,3.101428761526204
2.7,40.446108171629106,0.9993041238027832,3.10059190751197
2.75,40.44610817174903,0.9992914712659944,3.099759222495894
2.8000000000000003,40.44610817187012,0.9992788187205519,3.0989306856329724
2.85,40.446108171992336,0.9992661661664557,3.0981062761824245
2.9000000000000004,40.446108172115615,0.9992535136037057,3.097285973507177
2.95,40.44610817223991,0.999240861032302,3.096469757073338
