time,x,y,z,vx,vy,vz,phi,theta,psi,p,q,r
0.0,3.928938831699082e-07,-1.2685395785034926e-20,0.9999999969165335,3.143150995054081e-05,-1.014831637759073e-18,-1.2484978443675723e-07,6.2014521918256786e-18,0.00019230737444430365,-3.947400032110136e-17,2.482099089715198e-16,0.007692294977772145,-1.578983857244667e-15
0.05,6.286178888044428e-06,-1.0639631252692152e-08,0.9999999867595033,0.0002514422194688518,-8.51159454548568e-07,-3.040956472855072e-07,5.208161317288494e-06,0.0007691694030418488,6.95601132077269e-07,0.0002083112883085756,0.015382186238558696,2.7777307869156528e-05
0.1,3.182205901823493e-05,-1.8086211226844102e-07,0.9999999613701697,0.000848542045350627,-7.659670280811656e-06,-8.096716864821236e-07,2.60396597028881e-05,0.0017303457117505308,3.4872806001466358e-06,0.0006248036771470908,0.0230648678506417,8.332914590643745e-05
0.15000000000000002,0.00010056425431011704,-1.0424925037851233e-06,0.999999889025787,0.002011061509593329,-3.063351908004444e-05,-2.348405753268186e-06,7.290561971658787e-05,0.0030753555568560293,9.801315231436652e-06,0.0012492168723322531,0.030735538388098185,0.00016664995896873179
0.2,0.0002454859725936612,-3.7651266878899526e-06,0.9999996872678529,0.003927028770694424,-8.507371904136328e-05,-6.279031237014602e-06,0.0001562100563414712,0.004803477830667774,2.1105570742624083e-05,0.0020811606359435663,0.03838940393152763,0.00027773141504717895
0.25,0.0005089516262462156,-1.0410469855376832e-05,0.9999991848917761,0.006784042147385611,-0.00019136102670613524,-1.4828690012376929e-05,0.00028634706352513887,0.006913751062623515,3.892517727251966e-05,0.003120115030207602,0.046021681064113605,0.0004165624060898192
0.30000000000000004,0.0009426920319535181,-2.418589341899788e-05,0.9999980731278152,0.010769136672622488,-0.00037493791909406896,-3.1308747209957136e-05,0.00047369833631077745,0.009404973407092308,6.48580472101119e-05,0.004365430742447253,0.05362759986108751,0.0005831290491116193
0.35000000000000003,0.0016077727587373403,-4.9696966328814066e-05,0.9999958460525816,0.016068643230555076,-0.0006662855381672863,-6.032971890586047e-05,0.0007286311104085758,0.012275702606442496,0.00010059019425047932,0.0058163294908797954,0.06120240687078493,0.000777414687587926
0.4,0.0025745552176144135,-9.319870042064719e-05,0.999991730280928,0.022868038848784602,-0.001100895242027977,-0.00010801508945010122,0.001061496599544593,0.015524255915306298,0.00014791081618300672,0.007471904511016549,0.06874136808539583,0.0009993998931139775
0.45,0.003922650015463349,-0.0001628452297338481,0.9999846039999207,0.03135178674300185,-0.0017192343358929394,-0.00018221376604706424,0.0014826290067683808,0.019148709969442262,0.00020872710808930316,0.009331121122361861,0.07623977189956202,0.001249062467355739
0.5,0.005740862026271093,-0.00026893762075954215,0.999972905420036,0.041703164741738026,-0.0025667054910873807,-0.0002927108844649713,0.0020023451811681378,0.023146900580189596,0.0002850787773211297,0.011392817375052591,0.08369293205498847,0.0015263774442675843
0.55,0.008127126565218256,-0.00042416948441177107,0.9999545307339646,0.05410408075616975,-0.003693599297419338,-0.0004514366415145983,0.002630944986206009,0.027516422433234787,0.0003791522367508567,0.013655704776044034,0.09109619056918505,0.0018313170925776175
0.6000000000000001,0.011188435985392122,-0.000643870031257799,0.9999267216906723,0.06873487400452016,-0.005155039333755397,-0.0006726727873657208,0.003378712440222442,0.03225462866828381,0.0004932944582421773,0.016118369094368003,0.09844492064656893,0.0021638509185761576
