start_lat,start_lon,start_alt_m,goal_lat,goal_lon,goal_alt_m,waypoint_lats,waypoint_lons,waypoint_alts,n_waypoints,planning_time_s,rrt_cost,path_length_m,time_cost_s,energy_cost_wh,threat_cost,terrain_cost_mean,wind_cost_mean,obstacle_cost_mean,fused_cost_mean,max_combined_threat,feasible,altitude_clearance_ok,speed_ok,risk_label
19.07200050354004,73.18599700927734,200.0,19.242000579833984,73.18000030517578,800.0,19.072001|19.101999|19.132000|19.162001|19.188000|19.195999|19.214001|19.242001,73.185997|73.188004|73.185997|73.190002|73.206001|73.236000|73.220001|73.180000,200.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0,8,0.6761601000034716,0.16334743067524393,24505.815348056203,980.2326139222481,2940.697841766744,0.6880779266357422,0.48746001720428467,0.05036500096321106,0.192368745803833,0.520745038986206,0.7630060911178589,1,1,1,0
19.073999404907227,72.93000030517578,100.0,19.010000228881836,72.95600128173828,50.0,19.073999|19.048000|19.034000|19.011999,72.930000|72.944000|72.935997|72.958000,100.0|50.0|50.0|50.0,4,0.6615269999892917,0.05952790830119459,8380.096998618497,335.20387994473987,1005.6116398342197,0.9481551647186279,0.4272124767303467,0.07257749885320663,0.1661050021648407,0.5107900500297546,0.9600667357444763,1,1,1,0
19.236000061035156,73.10600280761719,500.0,19.326000213623047,73.20600128173828,1000.0,19.236000|19.266001|19.290001|19.299999|19.308001|19.326000,73.106003|73.106003|73.125999|73.153999|73.199997|73.206001,500.0|50.0|50.0|50.0|50.0|50.0,6,0.6686885999806691,0.10900277519927042,16879.673159054317,675.1869263621727,2025.5607790865179,0.6446637511253357,0.39082837104797363,0.06483166664838791,0.18336166441440582,0.5068666338920593,0.7596449255943298,1,1,1,0
19.195999145507812,73.01599884033203,800.0,19.288000106811523,73.08599853515625,100.0,19.195999|19.205999|19.233999|19.260000|19.260000|19.285999,73.015999|73.043999|73.054001|73.070000|73.099998|73.085999,800.0|50.0|50.0|50.0|50.0|50.0,6,0.6739709000103176,0.11482835230388108,16164.923086687802,646.596923467512,1939.7907704025363,0.8099350333213806,0.39641666412353516,0.18278001248836517,0.30193331837654114,0.5540366768836975,0.9118715524673462,1,1,1,1
19.256000518798828,73.2760009765625,150.0,19.091999053955078,73.31400299072266,900.0,19.256001|19.226000|19.195999|19.166000|19.136000|19.112000|19.112000|19.091999,73.276001|73.281998|73.288002|73.286003|73.283997|73.300003|73.316002|73.314003,150.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0,8,0.6648584999784362,0.12379896189592182,20543.777842396565,821.7511136958626,2465.2533410875876,0.5566056966781616,0.48079127073287964,0.029881250113248825,0.08297625184059143,0.4925075173377991,0.5889067053794861,1,1,1,0
19.054000854492188,73.05400085449219,900.0,19.172000885009766,72.9520034790039,300.0,19.054001|19.068001|19.062000|19.072001|19.101999|19.110001|19.132000|19.160000,73.054001|73.026001|73.001999|72.973999|72.968002|72.966003|72.961998|72.949997,900.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0,8,0.676197199994931,0.13916098876343314,19234.117611629405,769.3647044651761,2308.0941133955284,0.9355748891830444,0.3917574882507324,0.1579587459564209,0.1607999950647354,0.520472526550293,0.9594934582710266,1,1,1,0
19.256000518798828,73.10399627685547,600.0,19.332000732421875,73.05599975585938,50.0,19.256001|19.282000|19.308001|19.332001,73.103996|73.087997|73.071999|73.056000,600.0|50.0|50.0|50.0,4,0.7160954999853857,0.06517728868695888,9839.530589482993,393.5812235793197,1180.743670737959,0.7148820757865906,0.3789525032043457,0.09413999319076538,0.11964750289916992,0.5006074905395508,0.7405292987823486,1,1,1,0
19.18000030517578,73.26599884033203,300.0,19.195999145507812,73.2760009765625,700.0,19.180000|19.195999,73.265999|73.276001,300.0|50.0,2,0.6928829000098631,0.012186934503446458,2065.948723086885,82.63794892347539,247.91384677042618,0.5751966238021851,0.35506001114845276,0.04739999771118164,0.025565000250935555,0.4684849977493286,0.5874895453453064,1,1,1,0
19.06599998474121,72.77799987792969,100.0,18.926000595092773,72.78800201416016,700.0,19.066000|19.056000|19.032000|19.004000|18.974001|18.944000|18.926001,72.778000|72.806000|72.788002|72.776001|72.779999|72.783997|72.788002,100.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.667093299998669,0.12462746018951877,18546.07174103641,741.8428696414563,2225.528608924369,0.8261679410934448,0.41418856382369995,0.14599142968654633,0.0011814285535365343,0.4874357283115387,0.8995211124420166,1,1,1,0
19.06599998474121,73.21399688720703,100.0,19.06999969482422,73.25599670410156,700.0,19.066000|19.068001,73.213997|73.244003,100.0|50.0,2,0.6791462000110187,0.021119675458012705,3161.3456469061357,126.45382587624543,379.3614776287363,0.702187716960907,0.5783300399780273,0.045579999685287476,0.0003100000030826777,0.4958599805831909,0.7251775860786438,1,1,1,0
19.158000946044922,73.30400085449219,700.0,19.152000427246094,73.24400329589844,400.0,19.158001|19.143999|19.150000,73.304001|73.278000|73.248001,700.0|50.0|50.0,3,0.6647587000043131,0.039865350635679114,6364.823475147971,254.59293900591885,763.7788170177565,0.5913230776786804,0.3434300124645233,0.26985999941825867,0.06462667137384415,0.5101100206375122,0.6320545673370361,1,1,1,0
18.920000076293945,72.90399932861328,400.0,19.055999755859375,72.87200164794922,700.0,18.920000|18.910000|18.927999|18.980000|19.006001|19.011999|19.054001,72.903999|72.875999|72.853996|72.851997|72.837997|72.848000|72.872002,400.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.65952409998863,0.16750961021089933,21791.90051330367,871.6760205321468,2615.0280615964402,0.886385977268219,0.390728622674942,0.14754141867160797,0.19020143151283264,0.5229957103729248,0.9789071083068848,1,1,1,0
