start_lat,start_lon,start_alt_m,goal_lat,goal_lon,goal_alt_m,waypoint_lats,waypoint_lons,waypoint_alts,n_waypoints,planning_time_s,rrt_cost,path_length_m,time_cost_s,energy_cost_wh,threat_cost,terrain_cost_mean,wind_cost_mean,obstacle_cost_mean,fused_cost_mean,max_combined_threat,feasible,altitude_clearance_ok,speed_ok,risk_label
19.922000885009766,86.17400360107422,300.0,20.027999877929688,86.15799713134766,800.0,19.922001|19.936001|19.964001|19.990000|20.016001,86.174004|86.169998|86.120003|86.136002|86.152000,300.0|50.0|50.0|50.0|50.0,5,0.782785999996122,0.12076102178299664,14374.167167411986,574.9666866964794,1724.9000600894383,0.7058455348014832,0.3810420036315918,0.7511240243911743,0.0,0.5803059935569763,0.7562744617462158,1,1,1,1
19.82200050354004,85.77799987792969,1200.0,19.865999221801758,85.71600341796875,1200.0,19.822001|19.840000|19.856001|19.865999,85.778000|85.753998|85.727997|85.716003,1200.0|50.0|50.0|50.0,4,0.7050432999967597,0.06333158622448047,8136.6175359820245,325.464701439281,976.3941043178429,0.823099672794342,0.32405000925064087,0.8216850161552429,0.0,0.5883899927139282,0.8844950199127197,1,1,1,1
19.799999237060547,85.97599792480469,900.0,19.922000885009766,85.96399688720703,200.0,19.799999|19.830000|19.854000|19.882000|19.903999|19.934000,85.975998|85.973999|85.991997|85.980003|85.959999|85.966003,900.0|50.0|50.0|50.0|50.0|50.0,6,0.6224899999797344,0.13301464026907395,16577.866459352255,663.1146583740903,1989.3439751222706,0.930229902267456,0.36449000239372253,0.8680716156959534,0.0,0.5980817079544067,0.960334837436676,1,1,1,1
19.79800033569336,85.95800018310547,300.0,19.6560001373291,85.86399841308594,800.0,19.798000|19.799999|19.788000|19.740000|19.726000|19.718000|19.700001|19.670000,85.958000|85.928001|85.940002|85.916000|85.905998|85.898003|85.853996|85.860001,300.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0,8,0.6394138000032399,0.18521666338218232,22391.963523641505,895.6785409456602,2687.0356228369806,0.8920965194702148,0.3933275043964386,0.8677988052368164,0.0,0.6002850532531738,0.9034181833267212,1,1,1,1
19.916000366210938,85.74600219726562,800.0,19.93400001525879,85.87999725341797,500.0,19.916000|19.944000|19.945999|19.952000|19.969999|19.959999|19.934000,85.746002|85.753998|85.783997|85.814003|85.837997|85.865997|85.879997,800.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.6589765000098851,0.14680671830858757,19152.985903983114,766.1194361593246,2298.3583084779734,0.7671582102775574,0.37806859612464905,0.7964257001876831,0.0,0.5884485840797424,0.8367260694503784,1,1,1,1
19.84000015258789,85.98400115966797,1000.0,19.889999389648438,85.96199798583984,600.0,19.840000|19.851999|19.889999,85.984001|85.994003|85.961998,1000.0|50.0|50.0,3,0.6306943999952637,0.05779881883117631,7085.838958729457,283.43355834917827,850.3006750475348,0.935675323009491,0.29779332876205444,0.8558566570281982,0.0,0.5926066040992737,0.9443848729133606,1,1,1,1
19.76799964904785,85.9520034790039,200.0,19.8439998626709,85.9020004272461,600.0,19.768000|19.766001|19.798000|19.827999|19.844000,85.952003|85.942001|85.914001|85.905998|85.902000,200.0|50.0|50.0|50.0|50.0,5,0.6199157999944873,0.09315017675199158,10945.96546789466,437.8386187157864,1313.5158561473593,0.8986698985099792,0.39190399646759033,0.8749499320983887,0.0,0.6010240316390991,0.9026967287063599,1,1,1,1
19.8799991607666,86.00800323486328,300.0,19.808000564575195,86.09400177001953,100.0,19.879999|19.889999|19.902000|19.886000|19.888000|19.850000|19.823999|19.808001,86.008003|86.014000|86.047997|86.075996|86.078003|86.117996|86.103996|86.094002,300.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0,8,0.6286648999957833,0.17093545565572907,20054.719003652448,802.1887601460979,2406.5662804382937,0.9005692005157471,0.39889252185821533,0.8558037281036377,0.0,0.5992000102996826,0.9723482728004456,1,1,1,1
19.98200035095215,85.91600036621094,400.0,20.010000228881836,85.99199676513672,900.0,19.982000|19.992001|19.990000|20.007999,85.916000|85.944000|85.973999|85.998001,400.0|50.0|50.0|50.0,4,0.6136968999926466,0.07485462222110509,9481.411492286392,379.2564596914557,1137.769379074367,0.8079419136047363,0.3594924807548523,0.801222562789917,0.0,0.5859699845314026,0.8249362111091614,1,1,1,1
19.695999145507812,85.77799987792969,600.0,19.784000396728516,85.7979965209961,500.0,19.695999|19.695999|19.746000|19.784000,85.778000|85.778000|85.795998|85.797997,600.0|50.0|50.0|50.0,4,0.6227742999908514,0.08311959939049524,10100.958659552718,404.0383463821087,1212.1150391463261,0.9324305057525635,0.3357824981212616,0.8810500502586365,0.0,0.5982975363731384,0.9904115200042725,1,1,1,1
19.736000061035156,86.08399963378906,300.0,19.663999557495117,86.15799713134766,900.0,19.736000|19.730000|19.691999|19.688000|19.664000,86.084000|86.099998|86.103996|86.108002|86.155998,300.0|50.0|50.0|50.0|50.0,5,0.6218647000205237,0.10352513700711552,12349.918062050601,493.99672248202404,1481.990167446072,0.9331799745559692,0.3753799796104431,0.9990159869194031,0.0,0.6228039860725403,0.979425311088562,1,1,1,1
20.034000396728516,85.7020034790039,1200.0,19.983999252319336,85.8740005493164,300.0,20.034000|20.018000|20.021999|19.993999|19.992001|19.993999|20.000000|19.993999,85.702003|85.727997|85.732002|85.767998|85.797997|85.828003|85.858002|85.863998,1200.0|50.0|50.0|50.0|50.0|50.0|50.0|50.0,8,0.6445553999801632,0.14752233852156516,19145.688053725047,765.8275221490019,2297.4825664470054,0.6688532829284668,0.3785949945449829,0.686623752117157,0.0,0.5718512535095215,0.7501687407493591,1,1,1,1
19.92799949645996,86.13200378417969,400.0,20.034000396728516,86.1719970703125,500.0,19.927999|19.955999|19.972000|19.976000|20.024000,86.132004|86.141998|86.141998|86.139999|86.164001,400.0|50.0|50.0|50.0|50.0,5,0.6503287000232376,0.08113093718749956,11451.862634260317,458.0745053704127,1374.223516111238,0.7111880779266357,0.37008601427078247,0.7493459582328796,0.0,0.5787819623947144,0.7768557071685791,1,1,1,1
19.95199966430664,85.84600067138672,100.0,19.950000762939453,85.91200256347656,150.0,19.952000|19.954000|19.931999|19.941999,85.846001|85.837997|85.872002|85.910004,100.0|50.0|50.0|50.0,4,0.6240998000139371,0.0830405633295079,9305.57088553188,372.22283542127525,1116.6685062638257,0.814328670501709,0.4172325134277344,0.8055499792098999,0.0,0.5933474898338318,0.8552457094192505,1,1,1,1
19.719999313354492,85.84200286865234,150.0,19.802000045776367,85.9219970703125,300.0,19.719999|19.726000|19.738001|19.768000|19.792000,85.842003|85.872002|85.900002|85.900002|85.917999,150.0|50.0|50.0|50.0|50.0,5,0.6163020000094548,0.10568547786952547,13032.229822355197,521.2891928942079,1563.8675786826236,0.9078174829483032,0.3992459774017334,0.8598039746284485,0.0,0.5993280410766602,0.9266870617866516,1,1,1,1
19.74799919128418,85.73999786376953,600.0,19.70199966430664,85.64800262451172,150.0,19.747999|19.728001|19.718000|19.708000|19.702000,85.739998|85.718002|85.690002|85.662003|85.648003,600.0|50.0|50.0|50.0|50.0,5,0.6592874999914784,0.0872885496453239,11080.501737794015,443.2200695117606,1329.6602085352818,0.7969526052474976,0.35212597250938416,0.8851240277290344,0.0,0.5998899936676025,0.8956479430198669,1,1,1,1
19.780000686645508,85.64199829101562,600.0,19.922000885009766,85.63999938964844,800.0,19.780001|19.809999|19.840000|19.870001|19.878000|19.922001,85.641998|85.641998|85.643997|85.641998|85.643997|85.639999,600.0|50.0|50.0|50.0|50.0|50.0,6,0.699045199988177,0.11032287423197948,15844.84569477792,633.7938277911168,1901.3814833733502,0.6767125725746155,0.36920836567878723,0.7387266755104065,0.0,0.578498363494873,0.7158635854721069,1,1,1,1
19.663999557495117,85.7040023803711,1500.0,19.729999542236328,85.78600311279297,500.0,19.664000|19.691999|19.719999|19.719999|19.750000|19.738001|19.730000,85.704002|85.694000|85.704002|85.734001|85.737999|85.765999|85.786003,1500.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.6262879999994766,0.1479967960460788,18566.57798170617,742.6631192682468,2227.9893578047404,0.8599153757095337,0.36325857043266296,0.8145914077758789,0.0,0.5912656784057617,0.9574949145317078,1,1,1,1
19.93000030517578,86.1520004272461,400.0,20.04800033569336,86.14399719238281,600.0,19.930000|19.940001|19.974001|20.004000|20.034000,86.152000|86.146004|86.132004|86.136002|86.141998,400.0|50.0|50.0|50.0|50.0,5,0.6275835999986157,0.09583947684484251,12086.46070119136,483.45842804765437,1450.375284142963,0.7051944732666016,0.37066999077796936,0.7463220357894897,0.0,0.578391969203949,0.7445831298828125,1,1,1,1
19.8700008392334,85.81999969482422,1000.0,19.959999084472656,85.85399627685547,100.0,19.870001|19.900000|19.926001|19.954000,85.820000|85.823997|85.837997|85.849998,1000.0|50.0|50.0|50.0,4,0.7028070999949705,0.07567821261072384,9959.01771660487,398.3607086641948,1195.0821259925845,0.8205686211585999,0.3296875059604645,0.8229799866676331,0.0,0.5897549986839294,0.8535451889038086,1,1,1,1
20.040000915527344,85.9739990234375,150.0,20.038000106811523,85.98999786376953,1500.0,20.040001|20.038000,85.973999|85.989998,150.0|50.0,2,0.6432197999965865,0.012993208332726274,1686.0321861389186,67.44128744555674,202.32386233667023,0.7292065024375916,0.3731899857521057,0.7534649968147278,0.0,0.5791549682617188,0.7311902642250061,1,1,1,1
20.04800033569336,85.78399658203125,1200.0,20.06399917602539,85.72200012207031,800.0,20.048000|20.056000|20.063999,85.783997|85.753998|85.723999,1200.0|50.0|50.0,3,0.648617099999683,0.04448183561916651,6514.466569269556,260.5786627707823,781.7359883123468,0.5780655741691589,0.29117998480796814,0.6385900378227234,0.0,0.5569567084312439,0.6122806668281555,1,1,1,1
19.634000778198242,86.16000366210938,700.0,19.649999618530273,86.00800323486328,100.0,19.634001|19.625999|19.604000|19.629999|19.629999|19.646000|19.650000,86.160004|86.143997|86.122002|86.101997|86.092003|86.036003|86.008003,700.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.6135188000043854,0.16314827579076635,18969.69118998372,758.7876475993488,2276.3629427980463,0.8211660385131836,0.3697042763233185,0.9949485659599304,0.0,0.6252357363700867,0.8551728129386902,1,1,1,1
20.02400016784668,85.77400207519531,700.0,19.974000930786133,85.85399627685547,100.0,20.024000|20.002001|20.018000|19.969999,85.774002|85.793999|85.807999|85.842003,700.0|50.0|50.0|50.0,4,0.6246968999912497,0.08791522667006646,11932.062201939743,477.28248807758973,1431.8474642327692,0.6893806457519531,0.3400849997997284,0.7625924944877625,0.0,0.5784500241279602,0.7644889950752258,1,1,1,1
19.766000747680664,85.9020004272461,600.0,19.81800079345703,85.8479995727539,300.0,19.766001|19.760000|19.788000|19.816000,85.902000|85.872002|85.860001|85.848000,600.0|50.0|50.0|50.0,4,0.6232839000003878,0.08016641173529593,9923.587757149762,396.9435102859905,1190.8305308579713,0.9116033315658569,0.3368949890136719,0.8881974816322327,0.0,0.5980299711227417,0.9190152883529663,1,1,1,1
20.062000274658203,85.74199676513672,150.0,19.93400001525879,85.802001953125,400.0,20.062000|20.032000|20.030001|20.000000|19.983999|19.968000|19.934000,85.741997|85.744003|85.713997|85.711998|85.737999|85.764000|85.802002,150.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.6231733000022359,0.1548890896142972,21806.676185450997,872.2670474180399,2616.8011422541194,0.6405643820762634,0.41214433312416077,0.5966042876243591,0.0,0.5590185523033142,0.7745065689086914,1,1,1,1
19.700000762939453,85.97799682617188,50.0,19.663999557495117,86.0979995727539,700.0,19.700001|19.691999|19.674000|19.672001|19.648001|19.643999|19.664000,85.977997|86.005997|86.029999|86.028000|86.050003|86.050003|86.098000,50.0|50.0|50.0|50.0|50.0|50.0|50.0,7,0.6199449000123423,0.13407462052903296,16047.98363240789,641.9193452963156,1925.7580358889468,0.8798879384994507,0.42323997616767883,0.9681628346443176,0.0,0.620930016040802,0.9181739091873169,1,1,1,1
