path_length_m,mission_time_s,mission_time_plan_s,cruise_speed_ms,cruise_altitude_m,n_waypoints,feasible,hover_time_s,transition_time_s,cruise_time_s,hover_fraction,cruise_fraction,collective_hover_deg,rotor_rpm_hover,thrust_per_rotor_N,total_thrust_hover_N,v_induced_hover_ms,CT_hover,figure_of_merit,tip_speed_hover_ms,tip_mach_hover,power_hover_shaft_W,power_hover_elec_W,CL_cruise,CD_cruise,LD_ratio,q_cruise_Pa,Re_cruise,Mach_cruise,CD_wing,CD_fuselage,e_oswald,thrust_cruise_N,power_cruise_shaft_W,power_cruise_elec_W,propulsive_efficiency,tip_mach_cruise,motor_eta_hover,motor_eta_cruise,motor_peak_torque_Nm,motor_peak_current_A,motor_peak_temp_C,motor_temp_final_C,soc_initial,soc_final,soc_minimum,soh_final,energy_consumed_wh,energy_consumed_plan_wh,energy_remaining_wh,battery_peak_temp_C,battery_temp_final_C,battery_peak_current_A,battery_peak_crate,battery_V_min,battery_V_final,pack_capacity_wh,range_km_remaining,motor_temp_rise_C,battery_temp_rise_C,thermal_margin_motor_C,nacelle_tilt_time_s,nacelle_transition_s,spl_hover_total_dB,spl_hover_a_dB,spl_hover_rotor_dB,spl_hover_loading_dB,spl_hover_bvi_dB,bpf_hover_Hz,detection_range_hover_km,spl_cruise_total_dB,spl_cruise_a_dB,spl_cruise_rotor_dB,bpf_cruise_Hz,detection_range_cruise_km,ir_mwir_hover_W_sr,ir_lwir_hover_W_sr,ir_contrast_hover,ir_motor_hover_W_sr,ir_mwir_cruise_W_sr,ir_lwir_cruise_W_sr,ir_contrast_cruise,rcs_hover_x_m2,rcs_hover_x_dBsm,rcs_hover_ku_m2,rcs_cruise_x_m2,rcs_cruise_x_dBsm,rcs_cruise_ku_m2,rcs_rotor_x_m2,rcs_noseon_x_m2,rcs_noseon_x_dBsm,risk_label,max_combined_threat,energy_cost_wh_plan,threat_cost
9713.222107762464,192.05170306143486,388.52888431049854,73.55620474840485,900.0,4,1,60.0,60.0,72.05170306143486,0.3124158705367313,0.3751682589265374,19.999991416931152,811.6902097686663,3597.62141820234,7195.24283640468,11.292318900414777,0.008824668937623861,0.8774168770186349,170.0,0.49955921245959445,72097.52216274044,77440.94754322282,0.3792162798049197,0.07986919384787139,4.747966788386788,3036.8123864423656,5639309.030711038,0.21615105715076358,0.014651802543523567,0.06521739130434782,0.7913754355901045,2789.2992074823956,215968.69853698788,220376.2229969264,0.9800000000000001,0.41140170437848955,0.9558315996008874,0.8335997858745239,771.3167804892424,807.6615502505157,150.0,150.0,0.9,0.7134206307212426,0.7134206307212426,0.9999765615517291,6644.746908005803,1165.5866529314956,28508.288403620856,33.69583558883923,33.69583558883923,500.0,5.0,331.3927698546529,377.7189656696993,39960.0,2.6431585826860147,130.0,8.69583558883923,0.0,9.0,60.0,97.24702170881648,92.24702170881648,97.24672585562915,97.24449753609507,0.00521563405274534,54.11268065124442,1.8,100.87262574522296,95.87262574522296,100.8724098261774,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,20.021763895773187,112.12187781632984,2.148998746129321,0.11510617195753461,-9.389013890093379,0.14097569377050886,0.14848847849771715,-8.283072427709028,0.1818605025008193,0.0,0.13507589466384406,-8.694221472662134,0,0.9552474617958069,1165.5866529314956,0.9323793053627014
11910.777077559893,263.85986378138443,476.4310831023957,58.42629763714937,600.0,5,1,60.0,60.0,143.85986378138443,0.22739343202917645,0.5452131359416471,19.999991416931152,811.6902097686663,3704.6257646876184,7409.251529375237,11.292318900414777,0.008824668937623861,0.8726092654604144,170.0,0.49955921245959445,74241.924629103,79744.27994533083,0.5836869495534482,0.08897627202878237,6.560029277970143,1972.9903101880489,4479349.485514784,0.1716905602032012,0.02375888072443455,0.06521739130434782,0.7913754355901045,2018.8172093186008,124160.01594383984,126693.89382024473,0.98,0.41140170437848955,0.9546350431322486,0.8968033221362717,443.4286283708566,464.3231710689598,150.0,150.0,0.9,0.7013468616153824,0.7013468616153824,0.9999808694859474,7428.577726620548,1429.2932493071871,28025.82059015068,30.58458373135337,30.58458373135337,322.28261572648023,3.2228261572648025,356.54014391228003,374.7724835920251,39960.0,3.5901163162096412,130.0,5.584583731353369,0.0,9.0,60.0,97.50129894918251,92.50129894918251,97.50101626905625,97.49888429396921,0.005224243138801552,54.11268065124442,1.9,100.87217695863656,95.87217695863656,100.87201185064671,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,18.279579068074575,102.36564278121763,2.14000592566479,0.11653035991173574,-9.335609121966606,0.14271996066331435,0.12447023999286544,-9.049344730811011,0.1524442880721422,0.0,0.13507589466384406,-8.694221472662134,0,0.9837152361869812,1429.2932493071871,0.9547222256660461
9608.104512688793,216.07907787058093,384.3241805075517,61.55920859973128,600.0,4,1,60.0,60.0,96.07907787058093,0.27767612020232973,0.44464775959534053,19.999991416931152,811.6902097686663,3704.6257646876184,7409.251529375237,11.292318900414777,0.008824668937623861,0.8726092654604144,170.0,0.49955921245959445,74241.924629103,79744.27994533083,0.5257879888810942,0.08600492301754781,6.113463862688609,2190.2529536721836,4719539.325979398,0.18089688098657442,0.020787531713199983,0.06521739130434782,0.7913754355901045,2166.2841716996277,140373.40969679315,143238.17315999302,0.98,0.41140170437848955,0.9546350431322486,0.884968751327807,501.3336060599756,524.9566555601839,150.0,150.0,0.9,0.7290082848824578,0.7290082848824578,0.9999825941849609,6361.992927701123,1152.972541522655,29131.171063903013,30.513797723364554,30.513797723364554,365.3974788475196,3.653974788475196,352.0689379600134,377.63244080918906,39960.0,3.4776806363742407,130.0,5.513797723364554,0.0,9.0,60.0,97.50129894918251,92.50129894918251,97.50101626905625,97.49888429396921,0.005224243138801552,54.11268065124442,1.9,100.87226571706417,95.87226571706417,100.87209078452315,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,18.639241741321733,104.37975375140171,2.141865724442137,0.12833655354173085,-8.916496277992783,0.15717953576230692,0.15407344131951373,-8.122722171053725,0.18870065707372735,0.0,0.13507589466384406,-8.694221472662134,0,0.9674930572509766,1152.972541522655,0.9556853771209717
14906.77419927568,294.4276072349928,596.2709679710272,63.58796378590755,200.0,7,1,60.0,60.0,174.4276072349928,0.20378523795192865,0.5924295240961426,19.999991416931152,811.6902097686663,3851.06651876271,7702.13303752542,11.292318900414777,0.00882466893762386,0.8660037056558486,170.0,0.49955921245959445,77176.64573650985,82896.50455049393,0.474034775426076,0.08361146538704563,5.669494886038928,2429.3759769356056,4875077.2235862445,0.1868585477105717,0.018394074082697803,0.06521739130434782,0.7913754355901045,2335.922382188223,156354.2608897638,159545.16417322838,0.98,0.41140170437848955,0.9529998015595024,0.8735973018708718,558.4080746062992,584.7204969699469,150.0,150.0,0.9,0.6210024652464612,0.6210024652464612,0.999967363284994,9956.098060563772,1788.8129039130815,24815.25851124859,35.72425364718729,35.72425364718729,418.2553526263817,4.182553526263817,338.22460402174704,369.0347649934121,39960.0,2.747309424764246,130.0,10.72425364718729,0.0,9.0,60.0,97.83765899691822,92.83765899691822,97.8373928411297,97.8353819211355,0.005235633105810135,54.11268065124442,1.9,100.87234824480454,95.87234824480454,100.87216426538994,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,18.87244827727212,105.68571035272387,2.1430707065895582,0.12381433294065677,-9.072290777978774,0.15164096927384005,0.13316469250460694,-8.756109094229247,0.16309277419545531,0.0,0.13507589466384406,-8.694221472662134,0,0.9813352227210999,1788.8129039130815,0.9610453248023987
17820.643703962516,299.39610939294573,712.8257481585007,74.43998880830449,400.0,8,1,60.0,60.0,179.3961093929457,0.20040340578124327,0.5991931884375133,19.999991416931152,811.6902097686663,3777.303180214054,7554.606360428108,11.292318900414775,0.00882466893762386,0.8693344334413249,170.0,0.49955921245959445,75698.40405468587,81308.70467742844,0.352652215749428,0.07896991790896153,4.465652555900769,3265.5648943105834,5707065.808636677,0.2187481304975154,0.013752526604613709,0.06521739130434782,0.7913754355901045,2965.636003746074,232380.95887196064,237123.427420368,0.98,0.41140170437848955,0.9538231348162115,0.8232169109217142,829.931995971288,869.0387392369507,150.0,150.0,0.9,0.5581261257270845,0.5581261257270845,0.9999528997915367,11743.532480062346,2138.4772444755017,22302.719984054296,41.028736256624065,41.028736256624065,500.0,5.0,328.118436195975,367.6121750306825,39960.0,1.9448547254587867,130.0,16.028736256624065,0.0,9.0,60.0,97.66985850836663,92.66985850836663,97.66958423409056,97.6675138105776,0.00522995072104895,54.11268065124442,1.9,100.87269474116454,95.87269474116454,100.8724712717892,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,20.123940145944765,112.69406481729068,2.149524918868814,0.10797259542242735,-9.666864590229912,0.13223888249445684,0.14085254022059568,-8.512353162760812,0.17250842625765206,0.0,0.13507589466384406,-8.694221472662134,0,0.7647505402565002,2138.4772444755017,0.7056982517242432
23349.945863718982,397.7832585575352,933.9978345487593,69.12700754747958,300.0,9,1,60.0,60.0,277.7832585575352,0.15083591053473566,0.6983281789305287,19.999991416931152,811.6902097686663,3814.0484110058233,7628.0968220116465,11.292318900414777,0.00882466893762386,0.8676760598465211,170.0,0.49955921245959445,76434.79062331718,82099.66769421824,0.4050040296390922,0.08080463600009159,5.012138531737624,2843.449969321039,5299737.245306767,0.20313549088298435,0.015587244695743753,0.06521739130434784,0.7913754355901045,2642.285307187769,192266.6067079614,196190.41500812388,0.98,0.41140170437848955,0.9534128995966542,0.8490611224705293,686.6664525284335,719.0224633805587,150.0,150.0,0.9,0.4282562999929166,0.4282562999929166,0.9999335765473851,16023.117850217313,2801.9935036462775,17113.12174771695,45.61721340050196,45.61090143467423,500.0,5.0,327.16326248307485,363.3964450973385,39960.0,1.6749301893015824,130.0,20.61721340050196,0.0,9.0,60.0,97.75385322176956,92.75385322176956,97.75358304195339,97.75154262131198,0.005232795049874733,54.11268065124442,1.9,100.87252017078718,95.87252017078718,100.87231682582677,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,19.5103769097577,109.25811069464312,2.146363218970162,0.08208655650000737,-10.857279624411586,0.10053508908357993,0.11271592825995434,-9.48014708030112,0.13804825506052135,0.0,0.13507589466384406,-8.694221472662134,0,0.9323983788490295,2801.9935036462775,0.9071719646453857
10846.421928522672,206.8439630282316,433.8568771409069,73.8635876126374,400.0,5,1,60.0,60.0,86.8439630282316,0.29007373056283375,0.4198525388743325,19.999991416931152,811.6902097686663,3777.303180214054,7554.606360428108,11.292318900414775,0.00882466893762386,0.8693344334413249,170.0,0.49955921245959445,75698.40405468587,81308.70467742844,0.3581775978775774,0.07915159215035508,4.525210272424957,3215.189063962023,5662875.0503022,0.2170543273953494,0.013934200846007256,0.06521739130434782,0.7913754355901045,2926.6043349855454,227546.83758392555,232190.6505958424,0.98,0.41140170437848955,0.9538231348162115,0.82624834033456,812.6672770854484,850.9604995659146,150.0,150.0,0.9,0.6879289095013251,0.6879289095013251,0.9999725979250248,7478.37122513648,1301.5706314227207,27489.63922367295,35.10169878168345,35.10169878168345,500.0,5.0,330.5179152128942,374.1187996713254,39960.0,2.4291381170638346,130.0,10.101698781683453,0.0,9.0,60.0,97.66985850836663,92.66985850836663,97.66958423409056,97.6675138105776,0.00522995072104895,54.11268065124442,1.9,100.87267452594035,95.87267452594035,100.87245340446492,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,20.057295975066335,112.32085746037147,2.149181739698785,0.09451305630344764,-10.24508192666727,0.11575438098719198,0.12606767803325095,-8.993962461083289,0.15440074211947016,0.0,0.13507589466384406,-8.694221472662134,0,0.9529283046722412,1301.5706314227207,0.9354020953178406
12541.318850303629,225.95995241708147,501.6527540121452,75.56834445689327,900.0,5,1,60.0,60.0,105.95995241708147,0.2655337786992041,0.4689324426015918,19.999991416931152,811.6902097686663,3597.62141820234,7195.24283640468,11.292318900414777,0.008824668937623861,0.8774168770186349,170.0,0.49955921245959445,72097.52216274044,77440.94754322282,0.35929054099367613,0.0791885273958075,4.537153964207928,3205.2296519335405,5793573.075028484,0.22206389790447625,0.013971136091459668,0.06521739130434784,0.7913754355901045,2918.900285172928,232185.74966870717,236924.23435582363,0.9800000000000001,0.41140170437848955,0.9558315996008874,0.823338896518847,829.2348202453827,868.3087122988301,150.0,150.0,0.9,0.6631371369021145,0.6631371369021145,0.9999688106682911,8292.371800405826,1504.9582620364354,26498.959990608495,36.361749016932585,36.361749016932585,500.0,5.0,329.61534323082157,374.2777773267741,39960.0,2.347776496946741,130.0,11.361749016932585,0.0,9.0,60.0,97.24702170881648,92.24702170881648,97.24672585562915,97.24449753609507,0.00521563405274534,54.11268065124442,1.8,100.87269451099434,95.87269451099434,100.87247055388639,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,20.254457749880306,113.4249633993297,2.1501968410207817,0.1346777978118885,-8.707039936053345,0.1649459421604238,0.15618574088276257,-8.063586179529981,0.19128768513065908,0.0,0.13507589466384406,-8.694221472662134,0,0.9716386198997498,1504.9582620364354,0.9359718561172485
15998.865089265802,271.0001106194694,639.9546035706321,75.82396541070605,1500.0,6,1,60.0,60.0,151.00011061946944,0.2214021236480242,0.5571957527039517,19.999991416931152,811.6902097686663,3390.7187726725433,6781.437545345087,11.292318900414777,0.008824668937623861,0.8866569751900123,170.0,0.49955921245959445,67951.12476913475,72987.24464998362,0.3786485536908224,0.07984929187963882,4.7420402207395895,3041.3656263229677,5813170.681487463,0.22281506144785793,0.014631900575291002,0.06521739130434782,0.7913754355901045,2792.7852535030765,222905.318380155,227454.40651036223,0.98,0.41140170437848955,0.9581486717630386,0.8291799261566772,796.0904227862678,833.6025369489715,150.0,150.0,0.9,0.6052946475129545,0.6052946475129545,0.999960143274461,10199.097788949271,1919.8638107118961,24187.574114617662,38.99188714511032,38.99188714511032,500.0,5.0,328.559786816103,372.9583515233506,39960.0,2.2397624052968497,130.0,13.991887145110319,0.0,9.0,60.0,96.73320633055049,91.73320633055049,96.73288194481133,96.73044540005846,0.0051982414213832,54.11268065124442,1.7,100.87265616175509,95.87265616175509,100.87243607024213,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,20.284035854440265,113.59060078486547,2.1503490820925455,0.11623203102621714,-9.346741733141144,0.14235458389078748,0.12729684210252637,-8.95182369908467,0.15590615450941406,0.0,0.13507589466384406,-8.694221472662134,0,0.8773440718650818,1919.8638107118961,0.8109660744667053
18632.710187509445,344.05193293530215,745.3084075003778,65.59613939241657,400.0,7,1,60.0,60.0,224.05193293530218,0.17439227702662785,0.6512154459467444,19.999991416931152,811.6902097686663,3777.303180214054,7554.606360428108,11.292318900414775,0.00882466893762386,0.8693344334413249,170.0,0.49955921245959445,75698.40405468587,81308.70467742844,0.45415348911088604,0.08275788199807846,5.487736976176251,2535.72574749282,5029037.353418604,0.19275973961920825,0.017540490693730627,0.06521739130434782,0.7913754355901045,2413.289860190751,166634.20848776633,170034.90662016973,0.98,0.41140170437848955,0.9538231348162115,0.8664324053340775,595.122173170594,623.1645792362241,150.0,150.0,0.9,0.5433656399678453,0.5433656399678453,0.999955054732127,12454.23116974121,2235.9252225011332,21712.890973115096,39.54462409652368,39.54462409652368,452.6986748267511,4.526986748267511,332.2013122890907,366.3547551188842,39960.0,2.326780115650042,130.0,14.544624096523677,0.0,9.0,60.0,97.66985850836663,92.66985850836663,97.66958423409056,97.6675138105776,0.00522995072104895,54.11268065124442,1.9,100.87239934174747,95.87239934174747,100.87220957203293,44.563384065730695,2.5,7.404712445296411,41.4663896936599,2.1409399755828473,34.71856907420526,19.103523574888698,106.9797320193767,2.14426396611314,0.13486034879039804,-8.701157214386363,0.16516952053512088,0.14997567133657336,-8.239791853523894,0.18368193430297874,0.0,0.13507589466384406,-8.694221472662134,0,0.9677034616470337,2235.9252225011332,0.8643484711647034
